CustomerID,Cluster
1,1
2,1
3,0
4,1
5,1
6,1
7,0
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,0
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,1
41,4
42,1
43,0
44,1
45,0
46,1
47,4
48,1
49,1
50,1
51,4
52,1
53,1
54,4
55,4
56,4
57,4
58,4
59,1
60,4
61,4
62,1
63,4
64,4
65,4
66,1
67,4
68,4
69,1
70,1
71,4
72,4
73,4
74,4
75,4
76,1
77,4
78,4
79,1
80,4
81,4
82,1
83,4
84,4
85,1
86,4
87,4
88,1
89,1
90,4
91,4
92,1
93,4
94,4
95,1
96,1
97,4
98,1
99,4
100,1
101,1
102,4
103,4
104,1
105,4
106,1
107,4
108,4
109,4
110,4
111,4
112,1
113,3
114,1
115,1
116,1
117,4
118,4
119,4
120,4
121,1
122,3
123,2
124,2
125,3
126,2
127,3
128,2
129,3
130,2
131,3
132,2
133,3
134,2
135,3
136,2
137,3
138,2
139,3
140,2
141,3
142,2
143,3
144,2
145,3
146,2
147,3
148,2
149,3
150,2
151,3
152,2
153,3
154,2
155,3
156,2
157,3
158,2
159,3
160,2
161,4
162,2
163,3
164,2
165,3
166,2
167,3
168,2
169,3
170,2
171,3
172,2
173,3
174,2
175,3
176,2
177,3
178,2
179,3
180,2
181,3
182,2
183,3
184,2
185,3
186,2
187,3
188,2
189,3
190,2
191,3
192,2
193,3
194,2
195,3
196,2
197,3
198,2
199,3
200,2
